223.4.21.108 	80 	elite 	19.01.12 08:41 	4/5 	22,30 KB/s 	Unknown 	check
27.2.0.27 	808 	elite 	19.01.12 11:00 	5/5 	25,43 KB/s 	Unknown 	check
27.2.0.37 	808 	elite 	19.01.12 07:57 	2/5 	30,11 KB/s 	Unknown 	check
27.2.0.47 	808 	elite 	18.01.12 18:39 	1/5 	30,32 KB/s 	Unknown 	check
27.2.0.49 	808 	elite 	19.01.12 05:15 	2/5 	19,92 KB/s 	Unknown 	check
27.2.0.59 	808 	elite 	19.01.12 06:01 	2/5 	26,06 KB/s 	Unknown 	check
38.97.225.212 	80 	elite 	19.01.12 11:01 	1/5 	89,18 KB/s 	United States 	check
41.158.128.180 	80 	elite 	19.01.12 03:57 	5/5 	69,22 KB/s 	Unknown 	check
42.83.47.5 	8080 	elite 	19.01.12 06:19 	3/5 	30,38 KB/s 	Unknown 	check
46.137.117.214 	80 	elite 	18.01.12 17:18 	5/5 	222,87 KB/s 	Unknown 	check
46.137.117.214 	80 	elite 	19.01.12 11:06 	5/5 	202,69 KB/s 	Unknown 	check
46.181.220.99 	3128 	elite 	19.01.12 04:46 	2/5 	120,33 KB/s 	Unknown 	check
46.47.199.146 	3128 	elite 	18.01.12 18:23 	2/5 	20,24 KB/s 	Unknown 	check
46.47.199.146 	3128 	elite 	19.01.12 00:54 	2/5 	106,62 KB/s 	Unknown 	check
50.19.223.15 	80 	elite 	19.01.12 06:08 	1/5 	120,48 KB/s 	Unknown 	check
50.57.28.248 	80 	elite 	19.01.12 03:27 	5/5 	105,80 KB/s 	Unknown 	check
58.181.248.4 	80 	elite 	19.01.12 10:59 	1/5 	40,47 KB/s 	Unknown 	check
59.124.233.148 	3128 	elite 	19.01.12 10:42 	1/5 	26,74 KB/s 	Unknown 	check
59.99.227.96 	6588 	elite 	19.01.12 06:29 	1/5 	23,26 KB/s 	India 	check
59.99.227.98 	6588 	elite 	19.01.12 04:15 	1/5 	22,96 KB/s 	India 	check
60.174.155.18 	808 	elite 	19.01.12 03:24 	1/5 	15,98 KB/s 	China 	check
60.209.5.13 	808 	elite 	19.01.12 05:14 	2/5 	21,53 KB/s 	China 	check
61.135.255.137 	80 	elite 	18.01.12 18:41 	4/5 	25,96 KB/s 	China 	check
61.135.255.137 	80 	elite 	19.01.12 10:39 	3/5 	30,46 KB/s 	China 	check
61.54.26.43 	80 	elite 	19.01.12 11:20 	3/5 	3.701,37 KB/s 	China 	check
61.54.26.43 	8080 	elite 	18.01.12 20:00 	5/5 	2.844,52 KB/s 	China 	check
61.54.26.44 	8080 	elite 	18.01.12 20:00 	3/5 	29,69 KB/s 	China 	check
64.237.59.148 	80 	elite 	19.01.12 02:25 	1/5 	124,59 KB/s 	United States 	check
64.250.87.167 	8123 	elite 	19.01.12 04:00 	5/5 	2.962,88 KB/s 	United States 	check
67.158.59.64 	1728 	elite 	18.01.12 17:19 	5/5 	51,79 KB/s 	United States 	check
67.158.59.64 	1728 	elite 	19.01.12 11:06 	4/5 	53,46 KB/s 	United States 	check
67.172.22.28 	8088 	elite 	18.01.12 23:08 	5/5 	75,76 KB/s 	United States 	check
67.193.20.186 	8123 	elite 	19.01.12 03:49 	4/5 	2.110,32 KB/s 	United States 	check
67.20.111.73 	80 	elite 	18.01.12 15:05 	5/5 	52,61 KB/s 	United States 	check
67.20.111.73 	80 	elite 	18.01.12 23:09 	5/5 	56,85 KB/s 	United States 	check
67.205.58.215 	80 	elite 	19.01.12 05:28 	4/5 	74,55 KB/s 	United States 	check
68.197.167.24 	8123 	elite 	18.01.12 18:44 	5/5 	2.308,26 KB/s 	United States 	check
69.252.120.90 	80 	elite 	19.01.12 02:53 	1/5 	77,71 KB/s 	United States 	check
72.159.131.3 	553 	elite 	19.01.12 03:22 	3/5 	1.009,60 KB/s 	United States 	check
72.159.131.3 	554 	elite 	19.01.12 03:04 	2/5 	1.440,23 KB/s 	United States 	check
74.196.232.127 	8123 	elite 	19.01.12 03:13 	5/5 	2.760,86 KB/s 	Unknown 	check
74.196.50.32 	808 	elite 	19.01.12 02:58 	3/5 	70,92 KB/s 	Unknown 	check
76.164.223.77 	808 	elite 	18.01.12 23:09 	5/5 	55,84 KB/s 	United States 	check
76.74.239.9 	8090 	elite 	19.01.12 08:34 	1/5 	80,60 KB/s 	United States 	check
77.243.113.148 	808 	elite 	19.01.12 11:17 	1/5 	42,15 KB/s 	Unknown 	check
77.248.14.178 	8118 	elite 	19.01.12 01:38 	2/5 	531,38 KB/s 	Netherlands 	check
78.139.74.103 	8080 	elite 	19.01.12 05:30 	5/5 	96,22 KB/s 	Germany 	check
78.31.200.200 	443 	elite 	19.01.12 10:55 	1/5 	173,19 KB/s 	Russian Federation 	check
78.47.141.227 	808 	elite 	18.01.12 19:05 	5/5 	401,56 KB/s 	Germany 	check
79.133.68.121 	3128 	elite 	19.01.12 03:53 	2/5 	39,18 KB/s 	Unknown 	check
79.170.50.25 	80 	elite 	19.01.12 01:33 	5/5 	2.284,49 KB/s 	Saudi Arabia 	check
80.120.60.190 	8080 	elite 	19.01.12 03:27 	5/5 	348,29 KB/s 	Austria 	check
80.251.133.163 	3128 	elite 	19.01.12 05:38 	3/5 	170,66 KB/s 	Russian Federation 	check
